,0,1,2,3,4,5,6
409,1,11.35,520,Deteccion de terremotos,1,20.0,0
410,1,11.35,532,Deteccion de terremotos,1,20.0,0
411,1,11.35,538,Deteccion de terremotos,1,20.0,0
412,1,11.35,552,Deteccion de terremotos,1,20.0,0
413,1,11.35,568,Deteccion de terremotos,1,20.0,0
414,1,11.35,577,Deteccion de terremotos,1,20.0,0
415,1,11.35,578,Deteccion de terremotos,1,20.0,0
416,1,11.35,579,Deteccion de terremotos,1,20.0,0
417,1,11.35,583,Deteccion de terremotos,1,20.0,0
418,1,11.35,587,Deteccion de terremotos,1,20.0,0
419,1,11.35,593,Deteccion de terremotos,1,20.0,0
420,1,11.35,611,Deteccion de terremotos,1,20.0,0
421,1,11.35,614,Deteccion de terremotos,1,20.0,0
422,1,11.35,621,Deteccion de terremotos,1,20.0,0
423,1,11.36,2,Deteccion de terremotos,1,20.0,0
424,1,11.36,3,Deteccion de terremotos,1,20.0,0
425,1,11.36,5,Deteccion de terremotos,1,20.0,0
426,1,11.36,6,Deteccion de terremotos,1,20.0,0
427,1,11.36,17,Deteccion de terremotos,1,20.0,0
428,1,11.36,26,Deteccion de terremotos,1,20.0,0
429,1,11.36,35,Deteccion de terremotos,1,20.0,0
430,1,11.36,39,Deteccion de terremotos,1,20.0,0
431,1,11.36,47,Deteccion de terremotos,1,20.0,0
432,1,11.36,48,Deteccion de terremotos,1,20.0,0
433,1,11.36,49,Deteccion de terremotos,1,20.0,0
434,1,11.36,52,Deteccion de terremotos,1,20.0,0
435,1,11.36,73,Deteccion de terremotos,1,20.0,0
436,1,11.36,75,Deteccion de terremotos,1,20.0,0
437,1,11.36,78,Deteccion de terremotos,1,20.0,0
438,1,11.36,81,Deteccion de terremotos,1,20.0,0
439,1,11.36,82,Deteccion de terremotos,1,20.0,0
440,1,11.36,83,Deteccion de terremotos,1,20.0,0
441,1,11.36,86,Deteccion de terremotos,1,20.0,0
442,1,11.36,97,Deteccion de terremotos,1,20.0,0
443,1,11.36,100,Deteccion de terremotos,1,20.0,0
444,1,11.36,104,Deteccion de terremotos,1,20.0,0
445,1,11.36,105,Deteccion de terremotos,1,20.0,0
446,1,11.36,106,Deteccion de terremotos,1,20.0,0
447,1,11.36,107,Deteccion de terremotos,1,20.0,0
448,1,11.36,115,Deteccion de terremotos,1,20.0,0
449,1,11.36,124,Deteccion de terremotos,1,20.0,0
450,1,11.36,125,Deteccion de terremotos,1,20.0,0
451,1,11.36,126,Deteccion de terremotos,1,20.0,0
452,1,11.36,127,Deteccion de terremotos,1,20.0,0
453,1,11.36,130,Deteccion de terremotos,1,20.0,0
454,1,11.36,133,Deteccion de terremotos,1,20.0,0
455,1,11.36,134,Deteccion de terremotos,1,20.0,0
456,1,11.36,136,Deteccion de terremotos,1,20.0,0
457,1,11.36,137,Deteccion de terremotos,1,20.0,0
458,1,11.36,140,Deteccion de terremotos,1,20.0,0
